date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:17	37004/37004	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Oct%202021%2010:49:59%20GMT	https://themewar.com/html/makeover/index.html	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/index.html	(from )
12:02:18	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Jun%202024%2006:32:18%20GMT	https://themewar.com/robots.txt		(from )
12:02:19	159902/159902	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20May%202021%2019:27:44%20GMT	https://themewar.com/html/makeover/css/bootstrap.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/bootstrap.css	(from https://themewar.com/html/makeover/index.html)
12:02:19	1013/1013	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2017:08:24%20GMT	https://themewar.com/html/makeover/css/owl.theme.default.min.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/owl.theme.default.min.css	(from https://themewar.com/html/makeover/index.html)
12:02:19	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2017:08:24%20GMT	https://themewar.com/html/makeover/css/owl.carousel.min.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/owl.carousel.min.css	(from https://themewar.com/html/makeover/index.html)
12:02:19	60720/60720	---MCZ	200	added ('OK')	text/css	date:Mon,%2031%20May%202021%2018:15:02%20GMT	https://themewar.com/html/makeover/css/animate.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/animate.css	(from https://themewar.com/html/makeover/index.html)
12:02:19	92677/92677	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20May%202021%2019:18:10%20GMT	https://themewar.com/html/makeover/css/icofont.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/icofont.css	(from https://themewar.com/html/makeover/index.html)
12:02:19	1423/1423	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Mar%202021%2020:58:12%20GMT	https://themewar.com/html/makeover/css/nounicon.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/nounicon.css	(from https://themewar.com/html/makeover/index.html)
12:02:20	1321/1321	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Jun%202021%2016:52:34%20GMT	https://themewar.com/html/makeover/css/makeover-icon.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/makeover-icon.css	(from https://themewar.com/html/makeover/index.html)
12:02:20	3076/3076	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20May%202016%2015:32:26%20GMT	https://themewar.com/html/makeover/css/nice-select.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/nice-select.css	(from https://themewar.com/html/makeover/index.html)
12:02:20	16515/16515	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2001:09:54%20GMT	https://themewar.com/html/makeover/css/jquery.datetimepicker.min.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/jquery.datetimepicker.min.css	(from https://themewar.com/html/makeover/index.html)
12:02:20	1330/1330	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2017:20:50%20GMT	https://themewar.com/html/makeover/css/slick.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/slick.css	(from https://themewar.com/html/makeover/index.html)
12:02:20	10597/10597	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2021:26:36%20GMT	https://themewar.com/html/makeover/css/lightcase.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/lightcase.css	(from https://themewar.com/html/makeover/index.html)
12:02:21	5954/5954	---MCZ	200	added ('OK')	text/css	date:Tue,%2001%20Jun%202021%2021:54:40%20GMT	https://themewar.com/html/makeover/css/lightslider.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/lightslider.css	(from https://themewar.com/html/makeover/index.html)
12:02:21	29691/29691	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Jan%202021%2004:03:00%20GMT	https://themewar.com/html/makeover/css/settings.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/settings.css	(from https://themewar.com/html/makeover/index.html)
12:02:21	6963/6963	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Aug%202021%2000:15:42%20GMT	https://themewar.com/html/makeover/css/preset.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/preset.css	(from https://themewar.com/html/makeover/index.html)
12:02:21	6202/6202	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Jun%202021%2023:52:10%20GMT	https://themewar.com/html/makeover/css/ignore_for_wp.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/ignore_for_wp.css	(from https://themewar.com/html/makeover/index.html)
12:02:22	100917/100917	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Dec%202022%2009:52:12%20GMT	https://themewar.com/html/makeover/css/theme.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/theme.css	(from https://themewar.com/html/makeover/index.html)
12:02:22	17713/17713	---MCZ	200	added ('OK')	text/css	date:Sun,%2008%20Aug%202021%2021:28:42%20GMT	https://themewar.com/html/makeover/css/responsive.css	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/css/responsive.css	(from https://themewar.com/html/makeover/index.html)
12:02:22	2107/2107	---M--	200	added ('OK')	image/png	date:Sun,%2030%20May%202021%2019:30:38%20GMT	https://themewar.com/html/makeover/images/favicon.png	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/images/favicon.png	(from https://themewar.com/html/makeover/index.html)
12:02:22	7536/7536	---M--	200	added ('OK')	image/png	date:Tue,%2025%20May%202021%2002:11:06%20GMT	https://themewar.com/html/makeover/images/logo.png	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/images/logo.png	(from https://themewar.com/html/makeover/index.html)
12:02:23	36705/36705	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Aug%202021%2000:22:14%20GMT	https://themewar.com/html/makeover/index2.html	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/index2.html	(from https://themewar.com/html/makeover/index.html)
12:02:24	50537/50537	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Aug%202021%2000:22:08%20GMT	https://themewar.com/html/makeover/index3.html	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/index3.html	(from https://themewar.com/html/makeover/index.html)
12:02:24	19588/19588	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Aug%202021%2000:22:48%20GMT	https://themewar.com/html/makeover/about.html	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/about.html	(from https://themewar.com/html/makeover/index.html)
12:02:24	22689/22689	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Aug%202021%2000:20:58%20GMT	https://themewar.com/html/makeover/service1.html	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/service1.html	(from https://themewar.com/html/makeover/index.html)
12:02:25	14945/14945	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Aug%202021%2000:21:04%20GMT	https://themewar.com/html/makeover/service2.html	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/service2.html	(from https://themewar.com/html/makeover/index.html)
12:02:25	14912/14912	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Aug%202021%2000:21:34%20GMT	https://themewar.com/html/makeover/single-service.html	C:/Users/syeda/OneDrive/Desktop/diwizon%20data/retrofit3/themewar.com/html/makeover/single-service.html	(from https://themewar.com/html/makeover/index.html)
